id,qr_code_uid,qr_code_name
R000603-capitol,2017/03/19/3gz08ldwvq_R000603_capitol.png,R000603-capitol.png
K000386-capitol,2017/03/19/2p01yodw1a_K000386_capitol.png,K000386-capitol.png
R000604-capitol,2017/03/19/3zy2goolzw_R000604_capitol.png,R000604-capitol.png
P000610-capitol,2017/03/19/14pw7kk3ax_P000610_capitol.png,P000610-capitol.png
B001292-capitol,2017/03/19/1emtwqbx6h_B001292_capitol.png,B001292-capitol.png
M001195-capitol,2017/03/19/3cvj72qfz6_M001195_capitol.png,M001195-capitol.png
B001296-capitol,2017/03/19/7orp428gg9_B001296_capitol.png,B001296-capitol.png
H001073-capitol,2017/03/19/3u3t8ksqdj_H001073_capitol.png,H001073-capitol.png
B001291-capitol,2017/03/19/7gu45hcy4k_B001291_capitol.png,B001291-capitol.png
G000576-capitol,2017/03/19/9e6b5bcdz4_G000576_capitol.png,G000576-capitol.png
S001198-capitol,2017/03/19/2ukdm2n2qo_S001198_capitol.png,S001198-capitol.png
T000476-capitol,2017/03/19/22a8ngz3bf_T000476_capitol.png,T000476-capitol.png
Y000066-capitol,2017/03/19/7ohijxduuu_Y000066_capitol.png,Y000066-capitol.png
C001108-capitol,2017/03/19/3u9ckd1vn4_C001108_capitol.png,C001108-capitol.png
S001170-capitol,2017/03/19/7vgr6llb5k_S001170_capitol.png,S001170-capitol.png
R000609-capitol,2017/03/19/7mgoaro4sv_R000609_capitol.png,R000609-capitol.png
R000605-capitol,2017/03/19/8x6am4enhv_R000605_capitol.png,R000605-capitol.png
M001193-capitol,2017/03/19/4so7900kyl_M001193_capitol.png,M001193-capitol.png
H001050-capitol,2017/03/19/3cmplz8kc4_H001050_capitol.png,H001050-capitol.png
B001300-capitol,2017/03/19/ff2rcw4ke_B001300_capitol.png,B001300-capitol.png
C001111-capitol,2017/03/19/7nwzb4tpyp_C001111_capitol.png,C001111-capitol.png
R000607-capitol,2017/03/19/3o9h0e0lp4_R000607_capitol.png,R000607-capitol.png
B001299-capitol,2017/03/19/5k8ozrfyl4_B001299_capitol.png,B001299-capitol.png
C001107-capitol,2017/03/19/650gltf98s_C001107_capitol.png,C001107-capitol.png
W000819-capitol,2017/03/19/bfqmys2tg_W000819_capitol.png,W000819-capitol.png
R000602-capitol,2017/03/19/ixo4q228b_R000602_capitol.png,R000602-capitol.png
S001196-capitol,2017/03/19/kolfhejd9_S001196_capitol.png,S001196-capitol.png
E000294-capitol,2017/03/19/5432jia0mq_E000294_capitol.png,E000294-capitol.png
C001113-capitol,2017/03/19/35l2vereu7_C001113_capitol.png,C001113-capitol.png
B001302-capitol,2017/03/19/6ivbxe9hup_B001302_capitol.png,B001302-capitol.png
G000578-capitol,2017/03/19/5ihkxitj5o_G000578_capitol.png,G000578-capitol.png
D000628-capitol,2017/03/19/9ga7oa59hn_D000628_capitol.png,D000628-capitol.png
D000627-capitol,2017/03/19/56ffjemc0n_D000627_capitol.png,D000627-capitol.png
